isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector
INE283A01014,205936,PRECOT,,PRECOT,,Precot,,PRECOT,55c83284-0f22-4284-b6bb-3f65fe9f9f4b,
INE283D01018,531878,ANJANIFIN,,,,Anjani Finance,,ANJANIFIN,17b7b368-924a-4eff-9a2b-11521b4bc653,
INE283H01019,532699,ROHLTD,,ROHLTD,,Royal Orchid Hotels,,ROHLTD,9a41e70e-0910-4661-a4e7-69e01e89f805,
INE284A01012,500133,ESABINDIA,,ESABINDIA,,ESAB India,,ESABINDIA,bc8056d1-75b0-428e-9367-de2e27c32f65,
INE284B01028,507753,TGVSL,,,,"TGV Sraac ",,TGVSL,9716051c-76cc-45a4-b718-186925ee9d7d,
INE284C01018,504258,LAKSELEC,,,,Lakshmi Electrical Control Systems,,LAKSELEC,9d560f6b-a632-4b64-a835-0daec7a097f0,
INE284H01025,544316,DAMCAPITAL,,DAMCAPITAL,,DAM Capital Advisors,,DAMCAPITAL,98f5e63a-6f9f-4c24-ae46-1af0c8938840,
INE284S01014,543387,SJS,,SJS,,SJS Enterprises,,SJS,dc784c78-5b05-4a6c-af7e-6e2f5f23a9f5,
INE285A01027,522074,ELGIEQUIP,,ELGIEQUIP,,Elgi Equipments,,ELGIEQUIP,9285e5c0-c76f-403b-b1eb-566c9664093c,
INE285B01017,500285,SPICEJET,,,,Spicejet,,SPICEJET,6cfb8ac2-0962-47da-90e1-212aff6194d1,
INE285C01015,522122,VOITHPAPR,,,,Voith Paper Fabrics,,VOITHPAPR,09203235-f5c7-4a0f-8973-f4492e3cabac,
INE285H01022,532759,ATLANTAA,,ATLANTAA,,Atlantaa,,ATLANTAA,f3131287-5eb1-4984-9655-94bcdc4a0ef1,
INE285J01028,540673,SIS,,SIS,,SIS,,SIS,6bf016cd-d213-4a00-af8e-fbecda1a0f07,
INE285K01026,542141,TECHNOE,,TECHNOE,,Techno Electric & Engineering,,TECHNOE,54acb7a2-b019-43db-9eab-1c6507159c82,
INE285U01025,530313,KIMIABL,,,,Kimia Biosciences,,KIMIABL,1dae964e-d2be-4076-b5b9-ffad8786398c,
INE286E01019,507609,OLYOI,,,,Olympic Oil Industries,,OLYOI,c6547271-34e1-4821-b49d-50ca1f36f5d8,
INE286H01012,532721,VISASTEEL,,VISASTEEL,,VISA Steel,,VISASTEEL,3913cd3e-91d9-46d0-a176-f3e6cde560a9,
INE286N01028,501314,PRISMX,,,,Prismx Global Ventures,,PRISMX,24b41e5b-226e-43cd-887f-fb9000a22784,
INE287B01021,517168,SUBROS,,SUBROS,,Subros,,SUBROS,227b9fc4-281d-4c3c-a223-206af83aacae,
INE287C01037,532850,MICEL,,MICEL,,MIC Electronics,,MICEL,b11506a9-c5c3-4006-aab4-902c706f4064,
INE287Z01012,541546,GAYAHWS,,GAYAHWS,,Gayatri Highways,,GAYAHWS,cb064e61-f83c-4585-9832-3b9f8bf77d4c,
INE288A01013,500266,MAHSCOOTER,,MAHSCOOTER,,Maharashtra Scooters,,MAHSCOOTER,91d9592f-b729-495d-831a-bd15ef8f652d,
INE288B01029,506401,DEEPAKNTR,,DEEPAKNTR,,Deepak Nitrite,,DEEPAKNTR,48511248-7a9c-492f-888d-9de9487e215b,
INE289A01011,519136,NAHARINDUS,,NAHARINDUS,,Nahar Industrial Enterprises,,NAHARINDUS,2f44fd39-24eb-4799-b162-f7327b007622,
INE289B01019,511676,GICHSGFIN,,GICHSGFIN,,GIC Housing Finance,,GICHSGFIN,55b3e39d-5a93-45aa-b901-d25bb1cf5ba3,
INE289C01025,511559,TIMESGTY,,TIMESGTY,,Times Guaranty,,TIMESGTY,e5b99e5c-a878-4f41-8770-31619d511a71,
INE289D01015,513252,JAYUSH,,,,Jay Ushin,,JAYUSH,f9a828f4-6649-4916-a0a9-0ccc99562897,
INE289M01016,507968,JOLYPLS,,,,Jolly Plastic Industries,,JOLYPLS,7d8f7ca6-b904-4e6f-a829-63799b6fa59f,
INE290A01027,500296,NAHARSPING,,NAHARSPING,,Nahar Spinning Mills,,NAHARSPING,50591085-b2d2-4cdc-ba11-6dd9044c3d32,
INE290E01011,511702,YOGI,,,,Yogi,,YOGI,8f0d41b4-805d-428b-b744-ae98876e316c,
INE290S01011,543333,CARTRADE,,CARTRADE,,CarTrade Tech,,CARTRADE,d59f5ce4-ab8c-403c-a3e7-72d1e80f81f6,
INE291A01017,500655,GRWRHITECH,,GRWRHITECH,,Garware Hi-Tech Films,,GRWRHITECH,cdf96d90-44a7-44c1-ae8d-3a7c3e4b9269,
INE291D01011,532054,KDDL,,KDDL,,KDDL,,KDDL,950c0dcc-c67e-4d93-81a1-a8056cad232f,
INE291E01019,539113,PML,,,,Paul Merchants,,PML,9dd7e6af-7091-4ee7-abe1-c72213c8f117,
INE291R01011,539099,ATHCON,,,,Athena Constructions,,ATHCON,1820754c-f97a-44e0-8b56-d7e8a6f582d2,
INE291W01037,212255,GLOBAL,,GLOBAL,,Global Education,,GLOBAL,6d6d6b08-ab32-4667-a197-853d150f1fbf,
INE292B01021,517271,HBLENGINE,,HBLENGINE,,HBL Engineering,,HBLENGINE,14ba7f6c-4095-476c-aedf-acf373d13551,
INE292C01011,530233,AUROLAB,,,,Auro Laboratories,,AUROLAB,3fcc64c6-c5b7-4267-8e92-5272d210e516,
INE293B01029,531322,HAVISHA,,HAVISHA,,Sri Havisha Hospital,,HAVISHA,8e372303-40cc-47e8-83c3-0bf958813870,
INE293C01019,526187,ASHRAM,,,,Ashram Online.Com,,ASHRAM,7bf1b77e-d530-4513-b00c-597c72bb3c61,
INE293D01017,530443,KIRANSY-B,,,,Kiran Syntex,,KIRANSY-B,20e30799-0d5b-464e-bc08-255f45e14819,
INE293E01031,523105,CROPSTER,,,,Cropster Agro,,CROPSTER,a97dfa00-b433-42d1-87b1-57035d5b1889,
INE293N01016,526269,CRSTCHM,,,,Crestchem,,CRSTCHM,0cffcbb2-b231-4e7b-969c-90ecb8b576d0,
INE294B01019,505192,SMLISUZU,,SMLISUZU,,SML Isuzu,,SMLISUZU,10721492-a1e1-49e7-8828-7de5a399c2e5,
INE294G01026,533093,ROML,,ROML,,Raj Oil Mills,,ROML,0646aa31-2c45-4720-b5b5-f290975eeb4c,
INE294Z01018,542460,ANUP,,ANUP,,The Anup Engineering,,ANUP,79e4817a-a521-4d76-8cad-147bdb25a851,
INE295A01018,508906,EVERESTIND,,EVERESTIND,,Everest Industries,,EVERESTIND,fe60868c-51f3-47a4-a1f3-0de77e42b53b,
INE295B01016,530217,SWOJAS,,,,Swojas Foods,,SWOJAS,aec961b3-70ee-4ba6-8c9c-1d11e415975d,
INE295C01014,519457,VIRATCRA,,,,Virat Crane Industries,,VIRATCRA,006adc12-3a07-40dc-a6ba-411ce44ae0f6,
INE295D01020,524709,NACLIND,,NACLIND,,NACL Industries,,NACLIND,830ae159-08f4-4468-ba4c-d984da7dce2a,
INE295F01017,517421,BUTTERFLY,,BUTTERFLY,,Butterfly Gandhimathi Appliances,,BUTTERFLY,58f042fc-5aa3-4f3c-9282-4931213f5b1f,
INE295Z01015,541347,PARVATI,,,,Parvati Sweetners & Power,,PARVATI,bbe1e4c2-51ef-4e38-a461-48f0e0d721f5,
INE296C01020,507910,FIBERWEB,,FIBERWEB,,Fiberweb,,FIBERWEB,d781c831-847a-4dd8-9d9a-f05f6acf432d,
INE296D01010,507813,NOL,,,,National Oxygen,,NOL,59582bab-20a1-45ad-bcc2-c8e9449915db,
INE296E01026,532503,RAJPALAYAM,,,,Rajapalayam Mills,,RAJPALAYAM,13ec2764-4c08-45ef-9106-b117fdbb84c4,
INE296G01013,511766,MUTHOOTCAP,,MUTHOOTCAP,,Muthoot Capital Services,,MUTHOOTCAP,9ea15946-deec-48cc-b247-e1dadff5462d,
INE296H01011,532737,EMKAY,,EMKAY,,Emkay Global Financial Services,,EMKAY,0a4abf1b-ec4a-460d-873c-2e5b562ba255,
INE296Q01012,538446,MONEYBOXX,,,,Moneyboxx Finance,,MONEYBOXX,b0769c38-e329-49aa-b9b7-e9eb76d64ca4,
INE297D01018,519262,PRIMAGR,,,,Prima Agro,,PRIMAGR,cced8533-1033-46ad-b107-3a7057cddf87,
INE297H01019,532726,GALLANTT,,GALLANTT,,Gallantt Ispat,,GALLANTT,c5fbfb3b-9a47-4f22-afb2-e40347774af6,
INE297J01023,531814,TIRSARJ,,,,Tirupati Sarjan,,TIRSARJ,e1cc9236-1153-44f5-9024-0dc9e864d320,
INE298A01020,500480,CUMMINSIND,,CUMMINSIND,,Cummins,,CUMMINSIND,b518c3e8-b87a-4fe6-92a6-170c4fb77666,
INE298B01010,540174,SOUTHERNIN,,,,Southern Infosys,,SOUTHERNIN,e66b71e7-aa47-4450-a190-6c3e02d0a140,
INE298E01022,515085,RESTILE,,,,Restile Ceramics,,RESTILE,48d26a3f-c1f3-4652-99a1-91ddc476025b,
INE298G01027,513349,AJMERA,,AJMERA,,Ajmera Realty & Infra,,AJMERA,4943185d-2082-4c1e-9906-a0a2d4413dd4,
INE298I01015,532935,ARIES,,ARIES,,Aries Agro,,ARIES,377add5c-0659-4847-bec3-418e44a93651,
INE298J01013,540767,NAM-INDIA,,NAM-INDIA,,Nippon Life India AMC,,NAM-INDIA,a32482b0-0001-43b4-91b4-12e90a184562,
INE298W01016,540395,CHEMCRUX,,,,Chemcrux Enterprises,,CHEMCRUX,4eec4a9c-39fe-4da6-87b1-3604da54e9ee,
INE299D01022,526407,HAMPTON,,,,Hampton Sky Reality,,HAMPTON,69d1d0a3-f974-41fe-9bce-f4d05ec54be9,
